readlabel	chrom	strand	startcoord	status	haplotype
7b9141a6ce974572	chrEXPLORE	+	1521759,1522182,1522192,1523076,1523294,1523522,1523532,1523718,1523850,1523872,1523937,1524379,1524538,1524644,1524659,1524909,1525151	0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1	H2
00f67f5467834972	chrEXPLORE	+	1521759,1522182,1522192	1,0,1	noH
e0672b45b1444836	chrEXPLORE	+	1523522,1523532,1523718,1523850,1523872,1523937,1524379,1524538,1524644,1524659	1,1,0,1,1,0,1,0,1,0	H2
f21b90468cc9460a	chrEXPLORE	+	1521759,1522182,1522192,1523076,1523294,1523522,1523532,1523718,1523850,1523872,1523937,1524379	0,1,1,0,0,0,1,1,0,0,0,0	noH
832a14915f184da9	chrEXPLORE	+	1521759,1522182,1522192,1523076,1523294	1,1,1,0,0	noH
ead04b009a20497e	chrEXPLORE	+	1523937,1524379,1524538,1524644,1524659,1524909,1525151	0,0,0,0,1,1,1	H1
358e4797ae5a4004	chrEXPLORE	+	1522182,1522192,1523076,1523294,1523522,1523532,1523718,1523850,1523872,1523937,1524379,1524538	1,1,1,1,0,1,1,0,0,1,0,0	noH
da6ed5bf18894b97	chrEXPLORE	+	1524379,1524538,1524644	0,1,0	noH
83d5a89d5a954fc5	chrEXPLORE	+	1523718,1523850,1523872,1523937,1524379,1524538,1524644,1524659,1524909,1525151	1,1,1,0,1,1,0,1,1,1	H1
787b26a1c0844701	chrEXPLORE	+	1521419,1521580,1521669,1521759,1522182,1522192,1523076,1523294,1523522,1523532,1523718,1523850,1523872,1523937,1524379,1524538,1524644,1524659,1524909,1525151	0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0	noH
9e56a490d6ea4924	chrEXPLORE	+	1521419,1521580,1521669,1521759,1522182,1522192,1523076,1523294	1,1,0,0,0,1,0,1	H2
7c12756f046f4976	chrEXPLORE	+	1521759,1522182,1522192,1523076,1523294,1523522,1523532,1523718,1523850,1523872,1523937,1524379,1524538,1524644,1524659	1,0,0,1,0,0,1,0,0,1,1,1,1,1,0	noH
678967fed69840ce	chrEXPLORE	+	1523294,1523522,1523532,1523718,1523850,1523872,1523937,1524379,1524538,1524644,1524659,1524909	0,0,1,0,0,1,1,1,0,1,0,0	H2
3eeeacb6892d477b	chrEXPLORE	+	1521580,1521669,1521759,1522182	1,0,0,1	H2
693a2023995b4b44	chrEXPLORE	+	1523076,1523294,1523522,1523532,1523718,1523850,1523872,1523937,1524379,1524538	1,1,0,0,1,0,1,1,0,0	noH
