readlabel	chrom	strand	startcoord	status	haplotype
8fb0eb956b9a4c27	chrEXPLORE	+	1207968,1208007,1208106,1208696,1208726,1209014,1209037,1209832,1209928,1210226,1210309,1210506,1210548,1210579,1211135	0,1,0,0,0,0,0,1,0,0,0,0,0,1,0	H2
0a29dcf0b6dc4c4d	chrEXPLORE	+	1207968,1208007,1208106,1208696,1208726,1209014,1209037,1209832,1209928,1210226,1210309,1210506,1210548,1210579,1211135,1211634,1212070,1212266,1212596,1212610	0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1	H1
410a639d5c1c4f5f	chrEXPLORE	+	1207968,1208007,1208106,1208696,1208726,1209014,1209037,1209832,1209928,1210226,1210309,1210506,1210548,1210579,1211135,1211634,1212070,1212266	1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1	noH
353fe3fcaf5240c7	chrEXPLORE	+	1208007,1208106,1208696,1208726,1209014,1209037,1209832,1209928,1210226,1210309,1210506,1210548,1210579,1211135,1211634,1212070,1212266,1212596,1212610	0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0	H2
65b9526b2a0144c7	chrEXPLORE	+	1208106,1208696,1208726	1,1,0	H2
91481136e2d84541	chrEXPLORE	+	1208106,1208696,1208726,1209014	0,1,1,0	H2
f1ba7239ffca4a2c	chrEXPLORE	+	1208007,1208106,1208696,1208726,1209014,1209037,1209832,1209928,1210226,1210309,1210506	1,1,1,1,1,0,1,1,1,1,1	noH
9c638698695c4254	chrEXPLORE	+	1210309,1210506,1210548,1210579,1211135,1211634,1212070,1212266	1,0,0,0,1,0,1,0	H1
68b62198f97249ed	chrEXPLORE	+	1207968,1208007,1208106,1208696,1208726,1209014,1209037,1209832,1209928,1210226,1210309,1210506,1210548,1210579,1211135,1211634,1212070,1212266,1212596,1212610	1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0	H1
f1b8a3f04ebe4aa9	chrEXPLORE	+	1210226,1210309,1210506,1210548,1210579,1211135,1211634,1212070,1212266	1,1,1,1,1,1,1,1,1	H1
ca662ab22c1c4fcf	chrEXPLORE	+	1207968,1208007,1208106,1208696,1208726,1209014,1209037,1209832,1209928,1210226,1210309,1210506,1210548,1210579,1211135,1211634,1212070,1212266	0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1	H1
f99ab30a10d04c8e	chrEXPLORE	+	1209832,1209928,1210226,1210309,1210506,1210548,1210579,1211135,1211634	1,0,1,0,1,1,1,0,0	H2
8860f1439a4d4cb3	chrEXPLORE	+	1209832,1209928,1210226,1210309,1210506,1210548,1210579,1211135,1211634,1212070,1212266,1212596	0,0,0,0,0,0,0,0,0,0,0,1	H2
a0ff6a9ff64a46b6	chrEXPLORE	+	1208007,1208106,1208696,1208726,1209014,1209037,1209832,1209928,1210226,1210309,1210506	1,1,1,1,0,0,0,0,1,1,0	H2
94e1c32ddb374110	chrEXPLORE	+	1208007,1208106,1208696,1208726	0,0,1,1	H2
6a1fb8c86f4344c1	chrEXPLORE	+	1208106,1208696,1208726	0,0,0	noH
d237567a1fb84ec4	chrEXPLORE	+	1209014,1209037,1209832,1209928,1210226,1210309,1210506,1210548,1210579,1211135,1211634,1212070	0,1,1,0,0,1,1,0,1,0,0,1	H1
4c6af3fda6054fac	chrEXPLORE	+	1208007,1208106,1208696,1208726,1209014,1209037,1209832,1209928,1210226,1210309,1210506,1210548,1210579,1211135,1211634,1212070,1212266,1212596,1212610	1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1	noH
e4d1c83c4b494ce6	chrEXPLORE	+	1207968,1208007,1208106,1208696,1208726	0,0,1,0,1	noH
8039f9deda7d4211	chrEXPLORE	+	1209037,1209832,1209928,1210226	0,0,0,0	noH
e874b93cbed04008	chrEXPLORE	+	1209832,1209928,1210226	0,0,0	H2
4a21c8930a3648ae	chrEXPLORE	+	1209037,1209832,1209928,1210226,1210309,1210506,1210548,1210579,1211135,1211634,1212070,1212266	0,0,0,1,0,1,1,0,0,0,0,1	H1
cabea880e0564eb4	chrEXPLORE	+	1209832,1209928,1210226,1210309,1210506,1210548,1210579,1211135,1211634,1212070,1212266,1212596	0,1,0,1,1,1,1,0,0,0,1,1	H1
f7ed4cfb466840b2	chrEXPLORE	+	1208726,1209014,1209037,1209832,1209928,1210226,1210309,1210506,1210548,1210579,1211135,1211634,1212070,1212266,1212596,1212610	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	H2
