readlabel	chrom	strand	startcoord	status	haplotype
439ade8b8f024c60	chrEXPLORE	+	1625540,1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003	0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0	noH
be7f3a5e16dd42fa	chrEXPLORE	+	1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003,1629055,1629155	1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1	noH
c67ffe9d208e499a	chrEXPLORE	+	1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003,1629055,1629155	0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1	H2
12faa2cf31a34a2f	chrEXPLORE	+	1626760,1626770,1626896,1627329,1627418,1627956,1628155	1,0,1,0,1,1,0	noH
1aed3c9c0f404612	chrEXPLORE	+	1625250,1625540,1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329	0,0,1,1,0,0,0,0,1,0,0,1	H1
89870be972324f08	chrEXPLORE	+	1625250,1625540,1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003,1629055,1629155	0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1	H2
20333b3252e44a10	chrEXPLORE	+	1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418	0,0,0,0,0,0,1,1	noH
0d950b458b8749c6	chrEXPLORE	+	1626612,1626760,1626770	0,1,0	noH
853674ad2fc247a0	chrEXPLORE	+	1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329	0,0,0,1,0,0,0,0,1,0	H1
c479e42397004ee3	chrEXPLORE	+	1625250,1625540,1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003	0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1	H2
e6e0859729954a76	chrEXPLORE	+	1626602,1626612,1626760	0,1,0	noH
fdb72aea38ee49f4	chrEXPLORE	+	1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699	0,1,1,1,1,0,1,1,0,0,0,1	H2
58cceb51e3854c79	chrEXPLORE	+	1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982	0,1,0,0,0,0,0,1,0,1,0,1,0,1	noH
e945c9a1fc674a32	chrEXPLORE	+	1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003,1629055,1629155	1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1	H2
ae1815f2a0b74242	chrEXPLORE	+	1625540,1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003,1629055	0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0	H1
cb2685a6f62847e2	chrEXPLORE	+	1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003	0,0,0,0,1,0,0,0,1,1,0	noH
bfd00afb35444458	chrEXPLORE	+	1625250,1625540,1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982	1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0	H2
07384e344e3e4294	chrEXPLORE	+	1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003	1,0,0,1,0,0,0,0,1,0,0	H1
eb642acbd1a44953	chrEXPLORE	+	1625250,1625540,1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003	0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1	H1
ff23dac69f224a95	chrEXPLORE	+	1627418,1627956,1628155,1628699,1628982,1629003	0,0,0,1,0,1	noH
a6455d6442b14660	chrEXPLORE	+	1625657,1625741,1625861,1626137,1626602,1626612	1,1,0,0,0,0	H1
46ee6a261b9f4c18	chrEXPLORE	+	1627329,1627418,1627956	0,0,0	H1
232516c6105e4a93	chrEXPLORE	+	1625250,1625540,1625657,1625741,1625861,1626137,1626602,1626612	0,0,1,1,1,0,1,1	noH
c83c8420cc3a4ec6	chrEXPLORE	+	1625250,1625540,1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982	0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0	noH
8beae2c7579a42b4	chrEXPLORE	+	1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699	0,0,0,0,0,0,0,1	noH
d2811b591a624f83	chrEXPLORE	+	1625861,1626137,1626602,1626612,1626760	0,0,0,0,0	noH
e5a9bb9f51314a6f	chrEXPLORE	+	1625657,1625741,1625861,1626137,1626602,1626612,1626760	0,0,1,0,1,0,0	H2
1902ba5fb5194cfa	chrEXPLORE	+	1625540,1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329	0,0,0,0,0,0,0,1,0,0,1	H2
24f553b312344c7f	chrEXPLORE	+	1627329,1627418,1627956,1628155,1628699,1628982	1,1,1,1,0,0	H1
7e477d21330d480e	chrEXPLORE	+	1625540,1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003,1629055	0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0	noH
67383298471447aa	chrEXPLORE	+	1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003	0,1,0,0,1,1,0,0,0,0,0	H2
4e89b8f1230e4eb0	chrEXPLORE	+	1628699,1628982,1629003	1,0,0	H1
fb43c2f6a8b34139	chrEXPLORE	+	1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956	1,1,0,0,0,1,0,1,0,0	H1
8354f1d7917b4c23	chrEXPLORE	+	1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003	1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0	noH
525d5c6179b1428e	chrEXPLORE	+	1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003,1629055,1629155	0,1,1,1,0,0,1,1,0,0	noH
8fcdfb3154304e48	chrEXPLORE	+	1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003,1629055,1629155	1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0	noH
a54c4ca9002e498b	chrEXPLORE	+	1625250,1625540,1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003,1629055,1629155	1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0	H1
68d49d77d0cf4019	chrEXPLORE	+	1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003	0,1,1,0,0,1,1,1	noH
b29de834ac474aa5	chrEXPLORE	+	1625250,1625540,1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003,1629055	0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1	noH
7f436cf2cf674460	chrEXPLORE	+	1625250,1625540,1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003,1629055	0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1	noH
1787977e868045f0	chrEXPLORE	+	1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003,1629055,1629155	0,0,0,1,1,0,0,1,1,0,0	H1
6d873288db9b4d6b	chrEXPLORE	+	1625540,1625657,1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155	1,1,1,1,1,0,1,1,0,1,0,1,0,0	H2
8345a4adb8094a6b	chrEXPLORE	+	1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003,1629055,1629155	0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1	H1
71faedf9619a4703	chrEXPLORE	+	1626760,1626770,1626896,1627329,1627418,1627956	0,0,1,0,1,0	noH
06504af229734022	chrEXPLORE	+	1626612,1626760,1626770,1626896,1627329,1627418	0,1,0,1,0,1	noH
05a7e2f2af824a29	chrEXPLORE	+	1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982	0,1,0,1,0,1,1,0,0,1,0,1,1,0	H2
66a735ac93654680	chrEXPLORE	+	1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003,1629055,1629155	1,1,1,1,1,0,1,1,1,0,0,0,0,1,1	H1
1077d68ddb1f4a7f	chrEXPLORE	+	1625540,1625657,1625741	0,0,0	H2
849b7db585e24f49	chrEXPLORE	+	1625741,1625861,1626137,1626602,1626612,1626760,1626770,1626896,1627329,1627418,1627956,1628155,1628699,1628982,1629003	0,0,0,0,1,1,0,0,0,0,0,1,0,1,0	H1
