readlabel	chrom	strand	startcoord	status	haplotype
92917c1772324fd4	chrEXPLORE	+	1523718,1523850,1523872,1523937	0,1,1,1	noH
a764d105393349df	chrEXPLORE	+	1521669,1521759,1522182,1522192,1523076,1523294,1523522,1523532,1523718,1523850,1523872,1523937,1524379,1524538,1524644,1524659,1524909,1525151	0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1	H1
e9d2acbaf8cb487e	chrEXPLORE	+	1521759,1522182,1522192,1523076,1523294,1523522,1523532,1523718,1523850,1523872,1523937,1524379,1524538,1524644,1524659,1524909,1525151	0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1	noH
1761700266d146ca	chrEXPLORE	+	1521419,1521580,1521669,1521759,1522182,1522192,1523076,1523294,1523522,1523532,1523718,1523850,1523872,1523937,1524379,1524538	1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1	H1
b9ba4582e1dc440a	chrEXPLORE	+	1521580,1521669,1521759,1522182,1522192,1523076,1523294,1523522,1523532,1523718,1523850,1523872,1523937	0,0,0,1,1,0,1,1,1,0,0,0,1	noH
c54925c21dd445e7	chrEXPLORE	+	1523294,1523522,1523532,1523718,1523850,1523872,1523937	0,0,1,1,0,0,0	H2
de468fd040c34a5f	chrEXPLORE	+	1521580,1521669,1521759,1522182,1522192,1523076,1523294,1523522,1523532,1523718,1523850,1523872,1523937,1524379,1524538,1524644,1524659,1524909,1525151	0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0	noH
cdcf3cceddfb4c09	chrEXPLORE	+	1521580,1521669,1521759,1522182,1522192,1523076,1523294,1523522,1523532,1523718,1523850,1523872,1523937,1524379,1524538,1524644	0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0	noH
b20c97e5a84248ec	chrEXPLORE	+	1521669,1521759,1522182,1522192,1523076,1523294,1523522,1523532,1523718,1523850,1523872,1523937	0,1,1,1,0,1,0,1,1,1,1,1	H1
222fa35036fa4254	chrEXPLORE	+	1521419,1521580,1521669,1521759,1522182,1522192,1523076,1523294,1523522,1523532,1523718	0,1,1,1,0,1,1,0,0,1,1	H2
