readlabel	chrom	strand	startcoord	status	haplotype
32fbac13b5014378	chrEXPLORE	+	1312645,1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219	1,1,1,1,1,0,1,1,1,1,1,1,1,1	H1
32dbaddf6d9740be	chrEXPLORE	+	1312645,1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219	1,1,1,1,1,1,1,1,1,1,1,1,1,1	noH
ee5dcdb9e9844e5a	chrEXPLORE	+	1312645,1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462,1317266	0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1	H1
b5dfb41f63ea4b27	chrEXPLORE	+	1312925,1313614,1313916,1313926,1314109,1314346,1314695	1,0,1,1,0,0,0	H2
3c3ee508638d4947	chrEXPLORE	+	1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	noH
967763e62a924f97	chrEXPLORE	+	1312645,1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462	1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1	noH
bf8abb5c7bbf438e	chrEXPLORE	+	1312645,1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107	1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1	H2
449fe2fb027944f5	chrEXPLORE	+	1312645,1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107,1316304,1316404,1316462,1317266	1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0	noH
5d5f90ec41984f02	chrEXPLORE	+	1312645,1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107	1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1	H2
c1ef8712b2f84afd	chrEXPLORE	+	1312925,1313614,1313916,1313926,1314109,1314346,1314695,1314706,1314836	0,0,0,1,1,1,1,0,1	H2
6a14633cdb8a4d67	chrEXPLORE	+	1315026,1315103,1315219,1315577,1316107,1316304,1316404	1,0,1,1,0,0,1	H1
2df89cd103b74ccf	chrEXPLORE	+	1312925,1313614,1313916,1313926,1314109,1314346	0,0,1,0,1,1	noH
8c2f7cd1265b4048	chrEXPLORE	+	1314706,1314836,1314989,1315026,1315103,1315219,1315577	1,1,1,1,1,1,1	H1
a94a2a888b85433c	chrEXPLORE	+	1314346,1314695,1314706,1314836,1314989,1315026,1315103,1315219,1315577,1316107	0,0,1,0,0,1,0,1,0,0	noH
068a37fb435340fb	chrEXPLORE	+	1315026,1315103,1315219,1315577,1316107,1316304,1316404	0,1,0,0,0,1,1	noH
