readlabel	chrom	strand	startcoord	status	haplotype
495dbdb7076b4d8d	chrEXPLORE	+	1001496,1001543,1001583,1001623,1001695,1001843,1001956,1002024,1002213,1002243	1,1,0,1,0,1,1,1,1,1	H1
3591365cf8b9491c	chrEXPLORE	+	1001496,1001543,1001583,1001623	1,1,1,0	noH
a516a9316dac4490	chrEXPLORE	+	1001583,1001623,1001695,1001843,1001956,1002024,1002213,1002243,1002312,1002403,1002524	1,1,1,1,1,1,1,1,0,1,1	H1
e252c691b26843d6	chrEXPLORE	+	1001583,1001623,1001695,1001843,1001956,1002024,1002213,1002243	0,0,0,0,0,0,0,0	H2
7e98c7416c3a47d8	chrEXPLORE	+	1001543,1001583,1001623,1001695	0,0,0,0	H2
8350f73071704570	chrEXPLORE	+	1000183,1000429,1000439,1001139,1001496,1001543,1001583,1001623,1001695,1001843,1001956,1002024,1002213,1002243,1002312,1002403,1002524,1002831,1002875,1003019	1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1	H1
29e3c10719b8407f	chrEXPLORE	+	1000183,1000429,1000439,1001139,1001496,1001543,1001583,1001623,1001695,1001843,1001956	1,1,1,0,1,1,1,1,1,1,1	H1
27c684172a6f4fc6	chrEXPLORE	+	1000439,1001139,1001496,1001543,1001583,1001623,1001695,1001843,1001956,1002024,1002213,1002243,1002312,1002403,1002524	1,0,1,1,1,1,1,1,1,1,1,1,1,0,0	noH
7cd073234c6e458b	chrEXPLORE	+	1000429,1000439,1001139,1001496,1001543,1001583,1001623,1001695,1001843,1001956,1002024,1002213,1002243	1,0,0,0,1,0,0,0,0,0,0,0,0	noH
385ceef20c3c478b	chrEXPLORE	+	1001695,1001843,1001956,1002024,1002213,1002243,1002312,1002403,1002524,1002831,1002875	0,1,0,0,0,0,0,0,0,0,0	noH
88b8275cab8e465d	chrEXPLORE	+	1000429,1000439,1001139,1001496,1001543,1001583,1001623,1001695,1001843,1001956	1,1,1,1,1,0,1,1,1,0	H1
242d921248464476	chrEXPLORE	+	1000183,1000429,1000439,1001139,1001496,1001543,1001583,1001623,1001695	1,1,1,1,0,1,1,1,1	noH
c23863d4393b455b	chrEXPLORE	+	1000429,1000439,1001139,1001496,1001543,1001583,1001623,1001695,1001843,1001956,1002024,1002213,1002243,1002312,1002403	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0	H2
9ffc5da71f944155	chrEXPLORE	+	1001843,1001956,1002024,1002213,1002243,1002312,1002403,1002524,1002831,1002875	1,1,1,0,1,1,0,1,1,1	noH
6174436c54eb4049	chrEXPLORE	+	1001695,1001843,1001956,1002024	0,0,0,0	noH
a3a8e9c813b14587	chrEXPLORE	+	1000183,1000429,1000439,1001139,1001496,1001543,1001583,1001623,1001695,1001843,1001956,1002024,1002213,1002243,1002312,1002403	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	noH
bcb0a9826b644053	chrEXPLORE	+	1001139,1001496,1001543,1001583,1001623,1001695,1001843,1001956,1002024,1002213,1002243,1002312,1002403,1002524,1002831	1,0,1,1,1,1,1,1,1,1,1,1,1,1,1	noH
85c859e59f884177	chrEXPLORE	+	1001496,1001543,1001583,1001623,1001695,1001843,1001956,1002024	0,0,0,0,0,0,0,0	noH
8a009622500d4b28	chrEXPLORE	+	1000183,1000429,1000439,1001139,1001496,1001543,1001583,1001623,1001695,1001843,1001956,1002024,1002213	0,0,0,0,0,0,0,0,0,0,0,0,0	H2
d96820111b984b71	chrEXPLORE	+	1000429,1000439,1001139,1001496,1001543,1001583,1001623,1001695,1001843,1001956,1002024,1002213,1002243,1002312,1002403,1002524,1002831,1002875,1003019	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	H2
d8ad73d51f904fda	chrEXPLORE	+	1001139,1001496,1001543,1001583,1001623,1001695,1001843,1001956,1002024,1002213,1002243,1002312,1002403,1002524	1,0,1,1,1,1,1,1,1,1,0,1,1,1	noH
