readlabel	chrom	strand	startcoord	status	haplotype
62c878e3f6224510	chrEXPLORE	+	1417329,1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724,1420909,1421140	0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1	noH
4242068679c74834	chrEXPLORE	+	1417329,1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019	0,0,0,0,0,0,0,1,1,0,0,0,0,0,0	noH
e640783b7da2475b	chrEXPLORE	+	1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450	0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0	H2
faefea90c1b54342	chrEXPLORE	+	1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724,1420909	0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0	noH
37db29d08bd44589	chrEXPLORE	+	1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145	0,0,0,0,0,0,0,1,0,0,0	H1
3f6ea02ac2174fbe	chrEXPLORE	+	1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450	0,0,1,1,0,1,0,0,1	noH
13e8b5dfe77c424c	chrEXPLORE	+	1417329,1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715	0,0,0,0,0,1,0,0,0,1,0,1,1	H1
f8bbb5ff18e7422a	chrEXPLORE	+	1417329,1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724,1420909,1421140	0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0	noH
258c694ba4a94086	chrEXPLORE	+	1417329,1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744	0,0,1,0,1,0,0,1,0,0,0,0,0,0	H2
8191ca8f21b94ab1	chrEXPLORE	+	1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724	0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0	noH
464a7b685a64486f	chrEXPLORE	+	1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744	0,0,0,0,0,0,0,1,0,0,0,1,0	H1
bb5a590534154515	chrEXPLORE	+	1420019,1420145,1420450,1420724	1,0,1,0	H2
7cb5cdcd36cc422e	chrEXPLORE	+	1418582,1419259,1419603,1419648,1419689,1419715	0,0,0,0,0,0	noH
207dd2df98144f21	chrEXPLORE	+	1417329,1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145	0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0	H1
af45b4ced5834c8d	chrEXPLORE	+	1419259,1419603,1419648,1419689,1419715,1419744	0,0,0,0,0,1	noH
989ab8afbafd409f	chrEXPLORE	+	1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450	1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0	H1
586d332823134cff	chrEXPLORE	+	1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724,1420909,1421140	0,1,1,0,0,0,1,1,0,0,0,0,0,0,0	noH
f6a921375b4d4088	chrEXPLORE	+	1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724,1420909	0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1	H2
1188489455354645	chrEXPLORE	+	1420019,1420145,1420450,1420724,1420909	0,0,0,0,0	H1
da52a7ff8b544ac6	chrEXPLORE	+	1417329,1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145	0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0	H1
76fc981c9a6a4c63	chrEXPLORE	+	1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724,1420909,1421140	0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0	H2
5e203d7428154b47	chrEXPLORE	+	1419744,1420019,1420145,1420450	1,0,0,1	H1
2fa0f8d8cf7e4d62	chrEXPLORE	+	1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744	0,0,0,0,1,0,1,0,0,0,1	H1
c831095fccda49ab	chrEXPLORE	+	1418037,1418287,1418553,1418582,1419259,1419603	0,1,0,1,0,0	noH
2955ee5761f54cf9	chrEXPLORE	+	1417329,1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724,1420909	0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0	H1
98149a206c5b4336	chrEXPLORE	+	1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724,1420909,1421140	0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1	noH
e4898be2a22c455d	chrEXPLORE	+	1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715	0,0,0,0,0,0,0,0,0,0	noH
26be02c671534c0a	chrEXPLORE	+	1419715,1419744,1420019,1420145,1420450,1420724,1420909,1421140	0,0,1,0,0,0,1,1	noH
fc87c27e04994f38	chrEXPLORE	+	1417329,1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724,1420909,1421140	1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0	H2
f948989c357a4371	chrEXPLORE	+	1417329,1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724,1420909,1421140	1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0	noH
b96113d25ff84297	chrEXPLORE	+	1419259,1419603,1419648,1419689,1419715,1419744,1420019	0,0,0,0,0,0,0	noH
8ed3aeedb5c64ca5	chrEXPLORE	+	1417329,1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019	1,0,1,0,1,0,1,1,0,0,0,0,0,1,0	H2
cef1186b818c41a5	chrEXPLORE	+	1419744,1420019,1420145,1420450,1420724	0,1,0,0,1	noH
246b7ec958f54ace	chrEXPLORE	+	1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019	0,0,1,0,0,0,1,0,1,0,1,0,1,1	noH
5cf8b7a99a984866	chrEXPLORE	+	1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724,1420909,1421140	0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0	H1
b450eeb7da7b45d1	chrEXPLORE	+	1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450	0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0	H2
296d5ba350434604	chrEXPLORE	+	1418287,1418553,1418582,1419259,1419603,1419648	0,1,0,0,1,1	H2
f777d3b244474d9c	chrEXPLORE	+	1417913,1418037,1418287,1418553	0,0,0,0	H2
715e4f99b5024632	chrEXPLORE	+	1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724,1420909	0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0	H1
3dd446004e514685	chrEXPLORE	+	1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724,1420909	0,0,1,1,0,0,0,1,1,1,0,0,1	H2
2b5d62a0e0ad481b	chrEXPLORE	+	1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744	0,0,1,0,0,0,0,0,0	noH
be3d97b4344c4507	chrEXPLORE	+	1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724	0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1	noH
e75fbc84ff1f45e3	chrEXPLORE	+	1417329,1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019	1,0,1,1,0,1,0,0,1,1,0,0,0,1,1	H1
5cc65a9638ea4174	chrEXPLORE	+	1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724	0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0	H1
3edad70c30b94471	chrEXPLORE	+	1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724,1420909,1421140	0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0	H2
0068dd87b8fa4417	chrEXPLORE	+	1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724,1420909	0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0	H1
40e637d4890647fa	chrEXPLORE	+	1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724,1420909	0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0	noH
995319fab8ca4382	chrEXPLORE	+	1418553,1418582,1419259,1419603,1419648,1419689,1419715,1419744,1420019,1420145,1420450,1420724,1420909,1421140	1,0,0,0,1,0,1,1,1,0,0,0,0,0	H2
45d5bc5aca424629	chrEXPLORE	+	1417366,1417619,1417913,1418037,1418287,1418553,1418582,1419259	0,0,0,0,0,1,0,0	noH
