readlabel	chrom	strand	startcoord	status	haplotype
dfa1c6881d2e470e	chrEXPLORE	+	1103913,1104159,1104198,1104339,1104565,1104618,1104973,1105130,1105166,1105340,1106971,1107003,1107342,1107388,1107693	1,1,1,1,1,0,1,1,1,1,1,1,1,1,1	H1
3baf8368d68a45d4	chrEXPLORE	+	1103111,1103475,1103563,1103913,1104159,1104198,1104339,1104565,1104618,1104973	0,0,0,0,0,0,0,1,0,0	H2
6c72ea0a755949cd	chrEXPLORE	+	1103055,1103111,1103475,1103563,1103913,1104159,1104198,1104339,1104565,1104618,1104973,1105130,1105166,1105340,1106971,1107003,1107342,1107388,1107693	0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1	noH
7647cab9d88640e6	chrEXPLORE	+	1104198,1104339,1104565,1104618,1104973,1105130,1105166,1105340,1106971,1107003,1107342,1107388	0,0,1,0,1,0,0,0,0,0,0,0	H2
ef559f2bb3ec4656	chrEXPLORE	+	1103475,1103563,1103913,1104159,1104198,1104339,1104565,1104618,1104973,1105130,1105166	0,0,0,0,1,0,0,0,0,0,0	H2
2a8c053c65f04863	chrEXPLORE	+	1103563,1103913,1104159	0,0,0	H2
e2bcec5146b247e2	chrEXPLORE	+	1103055,1103111,1103475,1103563,1103913,1104159,1104198,1104339,1104565,1104618,1104973,1105130,1105166,1105340,1106971,1107003,1107342,1107388,1107693,1107958	1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1	H1
c386216c5fc34a4d	chrEXPLORE	+	1104159,1104198,1104339,1104565,1104618,1104973,1105130,1105166,1105340,1106971,1107003,1107342,1107388,1107693	1,1,0,1,1,1,1,1,1,1,0,1,1,1	noH
3b5d66d78d854125	chrEXPLORE	+	1103913,1104159,1104198,1104339,1104565,1104618,1104973,1105130,1105166	0,0,0,0,0,0,0,0,0	H2
6a97d08f79464034	chrEXPLORE	+	1103055,1103111,1103475,1103563,1103913,1104159,1104198,1104339,1104565,1104618	0,0,0,0,0,0,0,0,0,0	noH
77d51857485a4251	chrEXPLORE	+	1104565,1104618,1104973,1105130,1105166,1105340,1106971,1107003,1107342,1107388	0,0,0,0,0,0,0,0,0,0	noH
77cae54e32cc4ff0	chrEXPLORE	+	1103913,1104159,1104198,1104339,1104565,1104618,1104973,1105130,1105166,1105340,1106971,1107003,1107342	1,1,1,1,1,1,0,1,1,0,1,1,1	noH
7c5ef2ec60c54ac2	chrEXPLORE	+	1104339,1104565,1104618,1104973,1105130,1105166,1105340,1106971,1107003,1107342,1107388,1107693,1107958	1,0,1,1,1,1,1,1,0,1,1,1,1	H1
930530e39aac4109	chrEXPLORE	+	1103913,1104159,1104198,1104339,1104565,1104618,1104973,1105130,1105166,1105340,1106971,1107003,1107342,1107388	1,1,0,0,0,1,0,1,0,0,1,0,1,1	H1
25886f48123e4b61	chrEXPLORE	+	1104159,1104198,1104339,1104565,1104618,1104973,1105130,1105166	1,1,0,0,0,0,0,0	H2
